passID,timestamp,stationRef,vehicleRef,charge,stationID,vehicleID,providerAbbr
WSI3219904,1/1/2019 1:33,KO01,ED51EWW52190,2.8,KO01,ED51EWW52190,KO
TOB7336760,1/1/2019 1:37,OO12,AT19HLV57173,2.8,OO12,AT19HLV57173,OO
LDD7262109,1/1/2019 2:50,OO06,AT19HLV57173,2.8,OO06,AT19HLV57173,OO
NSR5538511,1/1/2019 5:23,AO07,DP11ENT03275,3.1,AO07,DP11ENT03275,AO
BDG6166982,1/1/2019 6:03,AO18,LG64ARC91224,13.0,AO18,LG64ARC91224,AO
YWD3967715,1/1/2019 6:09,MR06,QO68DIC93032,2.5,MR06,QO68DIC93032,MR
THF3239181,1/1/2019 6:10,OO12,XV40HUQ04740,1.25,OO12,XV40HUQ04740,OO
DKZ3204266,1/1/2019 7:28,EG04,TV81MAQ99005,2.8,EG04,TV81MAQ99005,EG
VSD5346273,1/1/2019 8:17,EG03,CP56DAO45598,2.8,EG03,CP56DAO45598,GF
UTI9677334,1/1/2019 8:52,AO13,DP11ENT03275,3.1,AO13,DP11ENT03275,AO
UIV0991172,1/1/2019 9:35,AO16,NO82BAX82566,2.8,AO16,NO82BAX82566,NE
BIM5756381,1/1/2019 9:53,KO08,QW79CHL42244,2.8,KO08,QW79CHL42244,KO
JVV5228001,1/1/2019 10:33,KO04,JO50FSF60755,2.2,KO04,JO50FSF60755,KO
TYV5505416,1/1/2019 10:41,KO08,WY00MLL63827,1.0,KO08,WY00MLL63827,KO
DVP9052273,1/1/2019 12:23,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
RCN6097732,1/1/2019 12:45,GF00,IO09FGE68100,2.8,GF00,IO09FGE68100,GF
UPC0934127,1/1/2019 16:48,OO04,CP56DAO45598,2.5,OO04,CP56DAO45598,GF
UYS4444642,1/1/2019 16:52,NE09,QP02SYE47964,2.8,NE09,QP02SYE47964,NE
YOW7433640,1/1/2019 17:18,AO02,QN23UHH39091,2.8,AO02,QN23UHH39091,MR
JLS1333152,1/1/2019 17:41,EG08,CR31GMR97972,1.5,EG08,CR31GMR97972,EG
QGO0903208,1/1/2019 18:02,EG02,TE24LCO18661,1.25,EG02,TE24LCO18661,EG
IRK4760444,1/1/2019 19:39,EG11,MU06LHX94338,1.5,EG11,MU06LHX94338,EG
YZL7519880,1/1/2019 23:13,EG12,MU06LHX94338,1.5,EG12,MU06LHX94338,EG
XRS9245728,1/1/2019 23:35,KO06,HW75BKT77773,2.2,KO06,HW75BKT77773,KO
ADK8001607,2/1/2019 0:22,OO12,EM54HQI58682,2.8,OO12,EM54HQI58682,OO
ZLJ2429774,2/1/2019 0:39,EG07,CM15YCB60994,2.0,EG07,CM15YCB60994,EG
PFK3153908,2/1/2019 1:25,EG09,CM15YCB60994,2.0,EG09,CM15YCB60994,EG
OJF7533092,2/1/2019 2:21,NE09,FY47TUN40300,1.0,NE09,FY47TUN40300,NE
AYA2207372,2/1/2019 2:42,EG02,DW44ZOO26361,2.5,EG02,DW44ZOO26361,EG
SUW7443304,2/1/2019 3:30,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF
NQU2005152,2/1/2019 4:18,AO18,RR73DWB65452,2.8,AO18,RR73DWB65452,AO
PZE1892597,2/1/2019 4:24,OO00,AT19HLV57173,2.8,OO00,AT19HLV57173,OO
AYH8728597,2/1/2019 4:28,GF00,QO68DIC93032,13.0,GF00,QO68DIC93032,MR
XJD2966445,2/1/2019 5:50,GF00,DO24BCW15511,13.0,GF00,DO24BCW15511,KO
HVQ7237032,2/1/2019 6:12,KO00,KB55KTM48860,2.5,KO00,KB55KTM48860,KO
NHY3086874,2/1/2019 7:11,AO15,YL27IFD65117,2.0,AO15,YL27IFD65117,AO
MGU4398755,2/1/2019 7:14,NE08,EG95RTB75032,2.8,NE08,EG95RTB75032,NE
GEM5057485,2/1/2019 7:28,OO12,AT19HLV57173,2.8,OO12,AT19HLV57173,OO
FFA6207327,2/1/2019 7:42,OO07,QR03XCJ37459,2.8,OO07,QR03XCJ37459,OO
OLV7217348,2/1/2019 8:19,MR04,IZ65WAT29135,2.0,MR04,IZ65WAT29135,MR
NKM7840606,2/1/2019 9:06,OO02,MX39VOS38645,2.0,OO02,MX39VOS38645,AO
QZY0176136,2/1/2019 10:20,OO01,QR03XCJ37459,2.5,OO01,QR03XCJ37459,OO
LEV3798414,2/1/2019 11:04,OO04,RK48BOP88344,2.8,OO04,RK48BOP88344,OO
XCW7548977,2/1/2019 13:49,KO07,QO77TFN61853,2.2,KO07,QO77TFN61853,KO
SSH1766507,2/1/2019 14:10,NE15,MQ65WJJ60020,1.0,NE15,MQ65WJJ60020,KO
AWB9004088,2/1/2019 15:24,AO04,HT62RDI04611,2.8,AO04,HT62RDI04611,AO
SNO1901037,2/1/2019 16:40,AO15,BM25PHF40639,13.0,AO15,BM25PHF40639,AO
OCG0520265,2/1/2019 16:45,NE02,VX68BAR38623,1.5,NE02,VX68BAR38623,NE
PZY6450746,2/1/2019 19:54,MR00,IZ65WAT29135,2.0,MR00,IZ65WAT29135,MR
SVP4480098,2/1/2019 19:54,OO07,RK48BOP88344,2.8,OO07,RK48BOP88344,OO
CKM4226732,2/1/2019 21:13,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF
KYZ7726118,2/1/2019 21:13,MR05,XV91YMP27722,2.5,MR05,XV91YMP27722,MR
BJS5915448,2/1/2019 21:36,AO11,BZ76ROL87339,1.0,AO11,BZ76ROL87339,AO
ABE2129498,2/1/2019 21:47,AO14,BZ76ROL87339,1.0,AO14,BZ76ROL87339,AO
QYU5003410,3/1/2019 0:02,EG01,TE24LCO18661,1.25,EG01,TE24LCO18661,EG
WPS5352347,3/1/2019 1:40,GF00,IO09FGE68100,2.8,GF00,IO09FGE68100,GF
RDV6518451,3/1/2019 2:39,AO15,XE59BZM26378,2.8,AO15,XE59BZM26378,EG
WNH6218760,3/1/2019 3:04,KO01,QW79CHL42244,2.8,KO01,QW79CHL42244,KO
RRS9227725,3/1/2019 3:32,EG05,CM15YCB60994,2.0,EG05,CM15YCB60994,EG
LJZ4625728,3/1/2019 3:41,KO09,QW79CHL42244,2.8,KO09,QW79CHL42244,KO
VED8509398,3/1/2019 4:03,OO11,JF94VYA88954,2.8,OO11,JF94VYA88954,OO
IAQ7370002,3/1/2019 4:19,NE00,QP02SYE47964,2.8,NE00,QP02SYE47964,NE
KPT1084302,3/1/2019 6:06,KO01,IX01MVL33676,2.5,KO01,IX01MVL33676,KO
CSJ9595952,3/1/2019 6:24,KO05,IZ65WAT29135,1.5,KO05,IZ65WAT29135,MR
AJB4007132,3/1/2019 6:51,AO18,MX39VOS38645,2.8,AO18,MX39VOS38645,AO
IFJ1584058,3/1/2019 6:59,MR07,EZ65FLV39493,2.8,MR07,EZ65FLV39493,MR
IJN5312188,3/1/2019 8:35,KO03,FL13UMN92207,1.0,KO03,FL13UMN92207,KO
UZI9045597,3/1/2019 8:43,NE01,PM58XHX45588,1.5,NE01,PM58XHX45588,NE
DKI5609758,3/1/2019 9:23,GF00,CK97FAU13897,2.5,GF00,CK97FAU13897,GF
BJL0155721,3/1/2019 9:23,MR04,KF48RSD79865,2.8,MR04,KF48RSD79865,MR
YON4581505,3/1/2019 12:20,GF00,YX66XYW62640,3.1,GF00,YX66XYW62640,GF
JZP9177875,3/1/2019 14:02,AO04,YL27IFD65117,2.0,AO04,YL27IFD65117,AO
SSZ7103725,3/1/2019 14:43,MR00,HE38BQH01623,2.8,MR00,HE38BQH01623,MR
FPU0425557,3/1/2019 15:44,KO05,WY00MLL63827,1.0,KO05,WY00MLL63827,KO
MOS5853245,3/1/2019 16:51,KO05,IX01MVL33676,2.5,KO05,IX01MVL33676,KO
EWR2508893,3/1/2019 16:58,AO12,DP11ENT03275,3.1,AO12,DP11ENT03275,AO
FDO3407403,3/1/2019 17:39,KO08,QW79CHL42244,2.8,KO08,QW79CHL42244,KO
DLQ8625471,3/1/2019 19:31,GF00,MP14WFM40909,2.8,GF00,MP14WFM40909,GF
ZAG0725273,3/1/2019 19:34,EG07,EC02LZC49528,2.8,EG07,EC02LZC49528,EG
RJN3440849,3/1/2019 20:37,NE12,EG95RTB75032,2.8,NE12,EG95RTB75032,NE
BXR7588699,3/1/2019 21:13,OO05,EM54HQI58682,2.8,OO05,EM54HQI58682,OO
JZF0586381,3/1/2019 22:03,EG01,TE24LCO18661,1.25,EG01,TE24LCO18661,EG
AKJ5235405,3/1/2019 22:15,NE06,XV91YMP27722,1.5,NE06,XV91YMP27722,MR
YSK8555815,3/1/2019 22:56,EG09,TV81MAQ99005,2.8,EG09,TV81MAQ99005,EG
VAS7777913,3/1/2019 23:10,KO05,QO77TFN61853,2.2,KO05,QO77TFN61853,KO
OSB6924402,3/1/2019 23:11,OO01,WY00MLL63827,2.8,OO01,WY00MLL63827,KO
IKP1014708,3/1/2019 23:28,AO02,PE73VJU23485,2.8,AO02,PE73VJU23485,AO
NDS8480885,4/1/2019 0:41,NE07,PD45WOT56494,1.5,NE07,PD45WOT56494,NE
IEP5322365,4/1/2019 0:46,AO05,YL27IFD65117,2.0,AO05,YL27IFD65117,AO
LZU2500999,4/1/2019 1:37,NE09,FY47TUN40300,1.0,NE09,FY47TUN40300,NE
FTO5959048,4/1/2019 2:32,NE07,NY14GZR94632,2.8,NE07,NY14GZR94632,NE
PEO8978228,4/1/2019 2:38,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
